entry_time,exit_time,direction,volume,profit,risk_amount,r_multiple,exit_type,exit_comment,weekday,hour,month,year,week,core_session
2021-01-04 10:00:00,2021-01-04 10:22:31,sell,0.95,-500.83,500.0,-1.00166,SL,sl 1930.80,Monday,10,1,2021,1,True
2021-01-04 11:00:00,2021-01-04 15:30:29,sell,0.87,-495.58,497.49585,-0.9961490131023203,SL,sl 1938.55,Monday,11,1,2021,1,True
2021-01-06 10:00:00,2021-01-06 10:39:37,sell,0.98,-489.57,495.01795,-0.9889944394945679,SL,sl 1953.51,Wednesday,10,1,2021,1,True
2021-01-06 11:00:00,2021-01-06 12:13:39,sell,0.88,-487.5,492.5701,-0.989706845787026,SL,sl 1959.18,Wednesday,11,1,2021,1,True
2021-01-06 14:00:00,2021-01-06 14:44:27,sell,0.75,710.47,490.1326,1.4495465104749203,TP,tp 1931.22,Wednesday,14,1,2021,1,True
2021-01-07 09:00:00,2021-01-07 12:24:27,sell,0.81,712.1500000000001,493.68495,1.4425191612586126,TP,tp 1913.38,Thursday,9,1,2021,1,True
2021-01-11 09:00:00,2021-01-11 15:34:40,buy,0.56,-633.83,497.2457,-1.2746817116769438,SL,sl 1833.93,Monday,9,1,2021,2,True
2021-01-13 12:00:00,2021-01-13 15:08:40,buy,0.52,-237.55,494.07655,-0.4807959414386293,SL,sl 1850.29,Wednesday,12,1,2021,2,True
2021-01-14 09:00:00,2021-01-14 17:14:40,buy,0.78,302.09,492.8888,0.6128968643637266,SL,sl 1841.48,Thursday,9,1,2021,2,True
2021-01-15 09:00:00,2021-01-15 13:57:37,buy,0.97,301.19,494.39925000000005,0.6092039985902081,SL,sl 1849.43,Friday,9,1,2021,2,True
2021-01-15 14:00:00,2021-01-15 15:44:23,buy,0.53,-237.03,495.9052,-0.4779744193043348,SL,sl 1844.09,Friday,14,1,2021,2,True
2021-01-28 12:00:00,2021-01-28 15:45:29,buy,0.57,356.33000000000004,494.72004999999996,0.7202659362603154,TP,tp 1850.02,Thursday,12,1,2021,4,True
2021-02-02 10:00:00,2021-02-02 13:59:40,buy,0.96,-505.41,496.50169999999997,-1.0179421339342847,SL,sl 1842.43,Tuesday,10,2,2021,5,True
2021-02-02 14:00:00,2021-02-02 15:20:05,buy,0.88,-500.18,493.97465,-1.0125620818801127,SL,sl 1835.91,Tuesday,14,2,2021,5,True
2021-02-04 12:00:00,2021-02-04 15:24:41,buy,0.99,-0.89,491.47375,-0.001810880031741268,SL,sl 1814.47,Thursday,12,2,2021,5,True
2021-02-05 11:00:00,2021-02-05 13:14:30,buy,0.59,-240.88,491.46930000000003,-0.4901221703980289,SL,sl 1803.94,Friday,11,2,2021,5,True
2021-02-08 12:00:00,2021-02-08 13:33:42,buy,0.55,456.63,490.2649,0.9313944359467707,TP,tp 1823.07,Monday,12,2,2021,6,True
2021-02-15 14:00:00,2021-02-15 16:07:40,buy,0.59,-238.13,492.54805,-0.4834655217902091,SL,sl 1816.13,Monday,14,2,2021,7,True
2021-02-18 09:00:00,2021-02-18 16:41:41,buy,0.64,-238.24,491.3574,-0.484860917938755,SL,sl 1778.36,Thursday,9,2,2021,7,True
2021-02-19 10:00:00,2021-02-19 13:53:43,buy,0.99,-506.5,490.16620000000006,-1.033322983102466,SL,sl 1768.49,Friday,10,2,2021,7,True
2021-02-19 14:00:00,2021-02-19 15:59:28,buy,0.87,932.4,487.63370000000003,1.9120909814067402,TP,tp 1780.87,Friday,14,2,2021,7,True
